"396";"4";"1";"N02"
"397";"3";"3";"465"
"398";"1";"16";"610"
"399";"2";"11";"272"
"400";"2";"3";"412"
"401";"4";"3";"E04"
"402";"4";"3";"056"
"403";"4";"1";"E48"
"404";"2";"9";"022"
"405";"1";"12";"318"
"406";"6";"12";"044"
"407";"1";"12";"324"
"408";"2";"4";"098"
"409";"2";"16";"050"
"410";"2";"16";"274"
"411";"2";"2";"284"
"412";"1";"9";"520"
"413";"6";"9";"186"
"414";"2";"3";"201"
"415";"7";"3";"806"
"416";"4";"3";"E21"
"417";"4";"3";"E52"
"418";"2";"3";"411"
"419";"2";"3";"E05"
"420";"6";"3";"389"
"421";"7";"3";"809"
"422";"2";"3";"199"
"423";"4";"3";"E17"
"424";"1";"9";"531"
"425";"1";"3";"468"
"426";"6";"5";"D07"
"427";"6";"1";"GCH"
"428";"2";"1";"379"
"429";"6";"12";"024"
"430";"3";"3";"400"
"431";"2";"1";"334"
"432";"4";"2";"E19"
"433";"1";"6";"702"
"434";"2";"6";"241"
"435";"6";"14";"004"
"436";"6";"3";"371"
"437";"3";"3";"420"
"438";"2";"11";"139"
"439";"2";"9";"153"
"440";"2";"19";"193"
"441";"2";"10";"212"
"442";"2";"1";"029"
"443";"2";"10";"301"
"444";"2";"3";"397"
"445";"2";"7";"051"
"446";"4";"4";"J05"
"447";"6";"8";"103"
"448";"1";"8";"309"
"449";"2";"4";"016"
"450";"3";"4";"616"
"451";"2";"4";"384"
"452";"2";"4";"095"
"453";"2";"4";"216"
"454";"2";"3";"192"
"455";"2";"3";"309"
"456";"2";"2";"070"
"457";"2";"3";"403"
"458";"2";"9";"214"
"459";"1";"5";"509"
"460";"8";"1";"817"
"461";"2";"1";"179"
"462";"2";"3";"407"
"463";"1";"7";"301"
"464";"2";"7";"297"
"465";"2";"7";"256"
"466";"2";"7";"377"
"467";"2";"11";"187"
"468";"2";"11";"317"
"469";"2";"2";"052"
"470";"1";"13";"113"
"471";"2";"6";"101"
"472";"2";"9";"172"
"473";"6";"14";"065"
"474";"2";"14";"200"
"475";"2";"14";"065"
"476";"2";"5";"182"
"477";"2";"5";"304"
"478";"2";"6";"087"
"479";"2";"4";"131"
"480";"2";"4";"D05"
"481";"6";"4";"D05"
"482";"2";"11";"A1T"
"483";"4";"3";"E26"
"484";"6";"7";"174"
"485";"6";"12";"277"
"486";"1";"1";"236"
"487";"4";"3";"E36"
"488";"2";"5";"134"
"489";"2";"11";"229"
"490";"3";"18";"124"
"491";"2";"2";"209"
"492";"6";"2";"352"
"493";"1";"11";"707"
"494";"2";"4";"132"
"495";"2";"4";"332"
"496";"2";"4";"239"
"497";"2";"4";"354"
"498";"2";"4";"045"
"499";"2";"3";"EN1"
"500";"4";"3";"E46"
"501";"4";"3";"E55"
"502";"2";"3";"359"
"503";"2";"5";"075"
"504";"7";"3";"810"
"505";"2";"6";"223"
"506";"2";"3";"055"
"507";"2";"1";"170"
"508";"2";"5";"286"
"509";"4";"1";"J04"
"510";"2";"16";"181"
"511";"2";"16";"145"
"512";"4";"12";"J08"
"513";"2";"12";"063"
"514";"6";"12";"D03"
"515";"2";"12";"142"
"516";"2";"6";"385"
"517";"2";"14";"036"
"518";"2";"3";"382"
"519";"1";"14";"218"
"520";"2";"1";"378"
"521";"3";"3";"403"
"522";"6";"14";"122"
"523";"2";"11";"150"
"524";"2";"4";"163"
"525";"2";"6";"234"
"526";"4";"17";"E27"
"527";"1";"2";"120"
"528";"3";"2";"105"
"529";"1";"2";"101"
"530";"4";"3";"CBA"
"531";"2";"3";"E41"
"532";"1";"3";"424"
"533";"6";"11";"027"
"534";"4";"15";"168"
"535";"2";"5";"319"
"536";"6";"10";"073"
"537";"2";"4";"184"
"538";"4";"4";"N03"
"539";"2";"11";"374"
"540";"2";"6";"100"
"541";"2";"19";"368"
"542";"1";"2";"118"
"543";"1";"4";"603"
"544";"2";"4";"180"
"545";"2";"4";"213"
"546";"2";"9";"026"
"547";"2";"9";"154"
"548";"1";"8";"321"
"549";"4";"1";"002"
"550";"2";"3";"392"
"551";"2";"11";"205"
"552";"2";"11";"116"
"553";"2";"11";"303"
"554";"2";"4";"173"
"555";"4";"3";"E14"
"556";"3";"6";"701"
"557";"4";"3";"E15"
"558";"1";"1";"247"
"559";"2";"16";"120"
"560";"1";"6";"709"
"561";"2";"11";"094"
"562";"2";"14";"067"
"563";"2";"18";"125"
